age,age_group,income,employment_years,credit_history_len,existing_debt_ratio,loan_amount,purpose,default,period
25,Under 30,78855.59,0.4,2.0,0.428,14063.48,debt_consolidation,0,baseline
58,Over 50,34896.83,17.8,14.7,0.2,10781.07,auto,0,baseline
53,Over 50,14288.5,14.4,13.1,0.587,1622.52,debt_consolidation,0,baseline
42,30-50,22133.93,2.4,3.5,0.129,5383.77,education,0,baseline
42,30-50,92942.11,11.4,13.0,0.695,8816.41,debt_consolidation,0,baseline
63,Over 50,40922.5,18.7,15.2,0.479,9319.49,debt_consolidation,0,baseline
25,Under 30,34967.49,0.0,0.0,0.074,11540.05,debt_consolidation,0,baseline
55,Over 50,102661.98,4.3,2.3,0.099,17578.35,auto,0,baseline
30,30-50,86623.11,2.9,2.3,0.049,10865.27,small_business,0,baseline
25,Under 30,49563.1,4.8,4.5,0.305,2857.86,debt_consolidation,0,baseline
46,30-50,42957.59,13.5,13.2,0.266,8944.76,auto,0,baseline
68,Over 50,46191.66,13.8,10.9,0.389,14881.91,debt_consolidation,0,baseline
57,Over 50,54296.95,17.9,13.9,0.535,8568.04,debt_consolidation,0,baseline
58,Over 50,100712.1,6.3,5.2,0.418,8970.75,debt_consolidation,0,baseline
56,Over 50,59284.93,11.1,8.7,0.255,6328.86,debt_consolidation,0,baseline
59,Over 50,67962.62,12.0,10.5,0.526,13024.81,education,0,baseline
46,30-50,82964.79,12.2,10.6,0.121,6791.4,auto,0,baseline
27,Under 30,28959.27,6.0,8.2,0.125,10899.02,education,0,baseline
62,Over 50,68850.16,17.2,13.8,0.343,10039.4,education,0,baseline
43,30-50,42935.06,3.6,4.2,0.092,8325.76,education,0,baseline
45,30-50,15799.87,11.0,9.7,0.105,10322.14,home_improvement,0,baseline
39,30-50,18813.38,7.8,9.9,0.507,8962.78,debt_consolidation,1,baseline
29,Under 30,31003.24,0.0,1.7,0.206,15346.69,debt_consolidation,0,baseline
66,Over 50,62258.51,9.5,11.7,0.608,11365.75,debt_consolidation,0,baseline
59,Over 50,51596.54,16.4,12.8,0.28,13627.72,debt_consolidation,0,baseline
52,Over 50,53261.29,10.3,10.1,0.485,5530.55,debt_consolidation,0,baseline
