age,age_group,income,employment_years,credit_history_len,existing_debt_ratio,loan_amount,purpose,default,period
45,30-50,21658.64,6.1,5.8,0.206,3681.91,auto,0,monitoring
52,Over 50,74697.71,10.6,13.1,0.374,10927.19,education,0,monitoring
40,30-50,26613.53,6.2,5.1,0.54,9355.59,debt_consolidation,0,monitoring
23,Under 30,24804.74,0.0,5.5,0.57,11140.71,debt_consolidation,0,monitoring
49,30-50,49561.53,12.8,12.6,0.729,7777.42,education,0,monitoring
21,Under 30,68988.01,0.0,7.0,0.266,4795.79,small_business,0,monitoring
34,30-50,62315.73,0.3,2.0,0.265,7556.22,debt_consolidation,0,monitoring
62,Over 50,54607.58,11.1,9.4,0.258,9819.16,debt_consolidation,0,monitoring
43,30-50,86032.01,10.0,11.3,0.092,6383.46,home_improvement,0,monitoring
49,30-50,33122.62,6.6,9.1,0.174,13302.41,debt_consolidation,0,monitoring
68,Over 50,20346.86,15.9,16.2,0.256,28795.66,debt_consolidation,0,monitoring
32,30-50,55516.43,0.0,5.1,0.303,13403.77,education,0,monitoring
62,Over 50,36985.67,14.5,12.8,0.2,14240.83,auto,1,monitoring
57,Over 50,57531.45,8.9,10.9,0.737,3537.11,home_improvement,0,monitoring
39,30-50,102516.32,9.7,13.8,0.564,7728.73,debt_consolidation,0,monitoring
33,30-50,70294.46,7.3,6.0,0.319,3125.68,auto,0,monitoring
34,30-50,50574.33,9.9,10.0,0.261,5391.21,small_business,0,monitoring
41,30-50,33817.06,6.3,8.3,0.385,3813.86,auto,1,monitoring
52,Over 50,71605.96,7.9,10.2,0.282,10064.98,home_improvement,0,monitoring
43,30-50,70469.14,3.7,7.5,0.483,6157.33,debt_consolidation,1,monitoring
28,Under 30,62872.79,8.1,9.7,0.268,6158.92,debt_consolidation,1,monitoring
67,Over 50,49138.86,18.0,18.5,0.55,6155.74,home_improvement,0,monitoring
40,30-50,29160.15,3.6,3.0,0.268,7672.68,home_improvement,0,monitoring
64,Over 50,49552.11,13.9,11.5,0.249,5011.34,auto,0,monitoring
30,30-50,77721.43,4.2,5.5,0.266,8751.52,debt_consolidation,0,monitoring
34,30-50,32087.65,3.3,2.5,0.206,6963.32,debt_consolidation,0,monitoring
59,Over 50,58392.23,17.5,17.1,0.275,4620.2,auto,0,monitoring
34,30-50,108666.95,8.7,7.8,0.132,8506.77,education,0,monitoring
64,Over 50,59813.73,10.1,9.8,0.178,3306.1,debt_consolidation,0,monitoring
41,30-50,58067.33,11.5,12.0,0.2,10336.42,small_business,0,monitoring
43,30-50,47670.78,10.0,14.4,0.106,5212.21,debt_consolidation,0,monitoring
21,Under 30,61939.36,0.0,2.1,0.196,16199.53,education,1,monitoring
41,30-50,177510.88,6.1,8.0,0.297,3686.85,auto,0,monitoring
36,30-50,31812.09,0.8,3.4,0.524,11590.37,auto,0,monitoring
47,30-50,32517.4,8.9,10.1,0.22,9761.32,education,0,monitoring
67,Over 50,51155.81,13.4,12.1,0.587,9937.58,auto,0,monitoring
21,Under 30,28215.38,0.0,1.3,0.424,4720.34,home_improvement,0,monitoring
62,Over 50,30560.12,13.0,10.7,0.085,7186.88,debt_consolidation,0,monitoring
40,30-50,28370.16,4.4,3.6,0.416,6745.85,education,0,monitoring
47,30-50,44219.71,11.0,11.1,0.298,5236.33,auto,0,monitoring
44,30-50,17546.08,2.7,4.5,0.211,6580.05,home_improvement,0,monitoring
44,30-50,32034.78,10.3,8.5,0.305,8539.6,debt_consolidation,0,monitoring
61,Over 50,25947.48,14.3,16.2,0.212,7852.26,home_improvement,0,monitoring
67,Over 50,36072.7,14.4,12.8,0.152,7008.92,debt_consolidation,0,monitoring
69,Over 50,53320.78,12.8,11.1,0.114,5634.64,debt_consolidation,0,monitoring
50,30-50,53218.36,1.9,1.8,0.176,2840.88,education,0,monitoring
55,Over 50,45218.41,15.8,15.6,0.274,6059.25,home_improvement,0,monitoring
67,Over 50,55401.56,11.4,11.4,0.261,9664.9,small_business,0,monitoring
66,Over 50,37760.32,17.4,17.6,0.477,4463.16,home_improvement,0,monitoring
69,Over 50,41674.91,13.7,11.7,0.426,6221.99,debt_consolidation,0,monitoring
23,Under 30,30679.23,1.4,1.0,0.405,5803.86,debt_consolidation,0,monitoring
22,Under 30,46191.69,0.0,2.9,0.433,10702.25,home_improvement,0,monitoring
49,30-50,37075.73,11.1,11.4,0.185,11446.67,auto,0,monitoring
26,Under 30,20368.23,0.0,3.2,0.174,7662.39,debt_consolidation,0,monitoring
63,Over 50,43608.16,16.9,12.2,0.403,5076.12,debt_consolidation,0,monitoring
58,Over 50,118627.41,14.0,17.2,0.331,14731.08,debt_consolidation,0,monitoring
27,Under 30,21318.61,0.0,5.2,0.245,9350.73,auto,0,monitoring
27,Under 30,44419.57,0.0,1.1,0.73,2164.37,debt_consolidation,0,monitoring
26,Under 30,19274.22,9.7,9.0,0.377,8544.7,auto,0,monitoring
37,30-50,87005.01,7.9,8.3,0.595,6015.02,debt_consolidation,0,monitoring
62,Over 50,100052.31,18.7,17.5,0.239,4285.31,auto,0,monitoring
35,30-50,70037.19,3.2,4.4,0.386,6191.93,education,0,monitoring
55,Over 50,84145.1,7.9,8.6,0.396,8434.88,home_improvement,0,monitoring
48,30-50,39791.13,5.3,5.9,0.165,10428.57,debt_consolidation,0,monitoring
50,30-50,31555.17,8.9,10.8,0.267,6773.68,small_business,0,monitoring
23,Under 30,23388.28,0.0,4.7,0.118,10066.27,auto,0,monitoring
54,Over 50,41992.43,11.9,12.6,0.549,3816.91,debt_consolidation,0,monitoring
43,30-50,64540.14,3.9,4.4,0.337,6519.55,auto,0,monitoring
27,Under 30,52571.4,3.4,5.1,0.305,15704.04,debt_consolidation,1,monitoring
48,30-50,38791.91,4.7,9.3,0.164,3827.78,auto,0,monitoring
50,30-50,92153.88,7.1,7.2,0.329,5954.92,education,0,monitoring
26,Under 30,24175.24,2.9,6.3,0.306,12670.21,home_improvement,0,monitoring
45,30-50,29628.16,12.1,11.3,0.117,4951.1,debt_consolidation,0,monitoring
37,30-50,65733.05,9.2,7.2,0.412,11272.46,small_business,0,monitoring
57,Over 50,18272.28,13.2,13.8,0.081,6483.03,auto,0,monitoring
45,30-50,24152.29,10.1,12.0,0.101,11850.88,debt_consolidation,0,monitoring
22,Under 30,40540.36,0.0,5.7,0.342,13999.73,small_business,0,monitoring
35,30-50,56547.47,7.4,11.2,0.422,8365.45,education,0,monitoring
48,30-50,56705.13,11.0,16.4,0.325,7894.7,debt_consolidation,0,monitoring
41,30-50,73585.34,6.0,10.7,0.567,6973.51,auto,1,monitoring
34,30-50,54682.54,7.3,8.8,0.265,5873.11,auto,0,monitoring
41,30-50,28125.26,7.8,8.2,0.234,8028.28,auto,0,monitoring
37,30-50,35914.35,5.6,5.9,0.236,5127.36,home_improvement,0,monitoring
25,Under 30,34977.42,0.7,1.3,0.461,12774.2,home_improvement,1,monitoring
55,Over 50,62059.27,11.5,14.4,0.562,9201.53,debt_consolidation,0,monitoring
49,30-50,59031.96,10.5,8.6,0.355,5978.58,home_improvement,0,monitoring
46,30-50,35230.12,2.1,2.2,0.208,5073.76,debt_consolidation,0,monitoring
24,Under 30,20236.92,2.8,5.4,0.629,19579.84,debt_consolidation,0,monitoring
53,Over 50,46730.15,14.9,15.6,0.476,18570.03,home_improvement,0,monitoring
49,30-50,21845.06,5.9,2.7,0.28,7124.14,debt_consolidation,0,monitoring
60,Over 50,26515.07,10.1,10.2,0.183,12115.25,home_improvement,0,monitoring
25,Under 30,46060.52,1.1,0.8,0.104,7213.18,education,1,monitoring
36,30-50,48047.89,9.4,10.3,0.291,8246.47,education,0,monitoring
47,30-50,30491.67,8.7,7.8,0.454,12383.61,education,0,monitoring
27,Under 30,43146.37,0.4,4.0,0.596,5464.12,small_business,1,monitoring
62,Over 50,49914.68,11.6,9.8,0.285,5330.81,small_business,0,monitoring
33,30-50,94150.18,11.6,13.5,0.138,15043.93,debt_consolidation,0,monitoring
35,30-50,59791.62,8.9,11.1,0.161,3361.29,debt_consolidation,0,monitoring
40,30-50,30739.41,5.3,6.8,0.315,8835.83,home_improvement,0,monitoring
25,Under 30,34857.38,8.1,5.3,0.198,9785.27,auto,0,monitoring
29,Under 30,49188.73,3.6,1.7,0.342,5724.96,auto,0,monitoring
36,30-50,61933.88,0.5,0.6,0.248,18123.69,debt_consolidation,0,monitoring
31,30-50,42478.83,0.5,1.3,0.533,13974.95,debt_consolidation,1,monitoring
41,30-50,40766.78,6.9,5.0,0.415,30674.49,education,1,monitoring
52,Over 50,81556.13,5.6,10.6,0.305,13926.22,debt_consolidation,0,monitoring
50,30-50,43475.18,6.0,6.6,0.182,23636.91,auto,0,monitoring
63,Over 50,17520.22,14.1,10.9,0.35,4695.44,debt_consolidation,0,monitoring
28,Under 30,147655.24,3.4,4.3,0.615,12008.3,home_improvement,0,monitoring
52,Over 50,36834.99,9.8,10.3,0.151,11217.45,education,0,monitoring
21,Under 30,34663.82,4.0,4.9,0.605,18974.15,auto,0,monitoring
21,Under 30,50376.63,0.0,0.0,0.409,10258.11,debt_consolidation,0,monitoring
62,Over 50,45114.02,13.6,11.6,0.462,16736.35,debt_consolidation,0,monitoring
39,30-50,62345.78,5.7,4.4,0.45,11307.66,small_business,0,monitoring
43,30-50,44720.59,4.5,4.7,0.204,16854.5,home_improvement,0,monitoring
63,Over 50,57887.91,15.7,12.6,0.484,5252.95,debt_consolidation,0,monitoring
49,30-50,30307.9,8.8,9.7,0.423,6602.79,auto,0,monitoring
54,Over 50,15032.09,14.5,11.5,0.207,4791.44,education,0,monitoring
60,Over 50,50849.85,9.3,12.1,0.133,4386.58,debt_consolidation,0,monitoring
53,Over 50,26798.57,9.7,9.9,0.157,6370.9,home_improvement,0,monitoring
58,Over 50,21148.18,7.9,13.0,0.176,11150.73,debt_consolidation,0,monitoring
27,Under 30,45963.57,0.0,5.3,0.509,8092.66,debt_consolidation,0,monitoring
63,Over 50,45430.83,13.3,13.7,0.324,6515.17,small_business,0,monitoring
41,30-50,53362.56,4.3,8.1,0.122,6256.74,home_improvement,0,monitoring
36,30-50,69132.35,8.2,11.9,0.261,6915.84,education,0,monitoring
29,Under 30,39456.05,6.7,4.5,0.132,7366.92,debt_consolidation,0,monitoring
30,30-50,20755.46,0.9,2.2,0.335,10784.4,small_business,0,monitoring
28,Under 30,60843.54,1.9,2.4,0.286,11069.75,debt_consolidation,1,monitoring
21,Under 30,56474.69,0.1,1.6,0.15,3259.91,auto,0,monitoring
34,30-50,26524.2,4.8,6.4,0.251,11753.69,education,0,monitoring
40,30-50,100190.4,5.6,4.0,0.595,11280.31,home_improvement,0,monitoring
67,Over 50,29753.62,20.8,18.7,0.518,9689.71,small_business,0,monitoring
50,30-50,67597.52,8.8,10.0,0.3,9009.87,debt_consolidation,0,monitoring
58,Over 50,58861.59,14.7,12.4,0.241,14668.49,education,0,monitoring
48,30-50,27307.62,7.5,4.9,0.134,8298.42,auto,0,monitoring
60,Over 50,34571.26,14.6,14.4,0.369,6681.29,auto,0,monitoring
64,Over 50,56527.84,17.8,15.6,0.602,5467.48,home_improvement,0,monitoring
65,Over 50,68835.25,14.8,12.5,0.28,6637.24,auto,0,monitoring
61,Over 50,31369.89,17.6,12.4,0.658,9765.51,small_business,0,monitoring
55,Over 50,32131.05,11.0,9.6,0.25,8607.69,education,0,monitoring
45,30-50,24197.4,8.9,8.7,0.234,6545.55,debt_consolidation,0,monitoring
29,Under 30,76723.71,3.1,5.0,0.52,4592.87,home_improvement,1,monitoring
27,Under 30,64251.78,5.3,7.4,0.424,10892.97,debt_consolidation,0,monitoring
66,Over 50,40820.03,12.6,10.1,0.672,12538.22,auto,0,monitoring
45,30-50,24094.63,5.9,5.9,0.368,9320.86,debt_consolidation,0,monitoring
